rating_band,chart_id,record_count,player_count,best50_count,best50_user_count,band_user_count,user_count,profile_count,total_users_in_band,best50_rate,avg_achievement,median_achievement,sss_rate,sss_plus_rate,sssplus_rate,avg_chart_rating,max_chart_rating,title,difficulty,level,internal_level,chart_type,category,is_new,best50_section
14000-14499,チルノのパーフェクトさんすう教室__dx__master,1,1,1,1,7,7,7,7,0.1429,100.732,100.732,1.0,1.0,1.0,292.0,292,チルノのパーフェクトさんすう教室,master,13,13.0,dx,東方Project,False,new
14000-14499,ULTRA SYNERGY MATRIX__dx__master,1,1,1,1,7,7,7,7,0.1429,99.7635,99.7635,0.0,0.0,0.0,294.0,294,ULTRA SYNERGY MATRIX,master,14,14.0,dx,ゲーム＆バラエティ,False,old
14000-14499,地獄__dx__master,1,1,1,1,7,7,7,7,0.1429,100.3132,100.3132,1.0,0.0,0.0,294.0,294,地獄,master,13+,13.6,dx,maimai,False,old
14000-14499,Transcend Lights__dx__master,1,1,1,1,7,7,7,7,0.1429,100.2166,100.2166,1.0,0.0,0.0,292.0,292,Transcend Lights,master,13,13.5,dx,オンゲキ＆CHUNITHM,False,old
14000-14499,ヒバリ__dx__master,1,1,1,1,7,7,7,7,0.1429,100.1971,100.1971,1.0,0.0,0.0,290.0,290,ヒバリ,master,13,13.4,dx,POPS＆アニメ,False,old
14000-14499,白ゆき__std__master,1,1,1,1,7,7,7,7,0.1429,100.4099,100.4099,1.0,0.0,0.0,290.0,290,白ゆき,master,13,13.4,std,niconico＆ボーカロイド,False,old
14000-14499,管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2__dx__master,1,1,1,1,7,7,7,7,0.1429,99.7573,99.7573,0.0,0.0,0.0,290.0,290,管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,master,13+,13.8,dx,オンゲキ＆CHUNITHM,False,old
14000-14499,ここからはじまるプロローグ。__dx__master,1,1,1,1,7,7,7,7,0.1429,100.1337,100.1337,1.0,0.0,0.0,289.0,289,ここからはじまるプロローグ。,master,13,13.4,dx,maimai,False,old
14000-14499,ヒトガタ__dx__master,1,1,1,1,7,7,7,7,0.1429,100.0558,100.0558,1.0,0.0,0.0,289.0,289,ヒトガタ,master,13,13.4,dx,POPS＆アニメ,False,old
14000-14499,Altale__std__master,1,1,1,1,7,7,7,7,0.1429,99.8831,99.8831,0.0,0.0,0.0,288.0,288,Altale,master,13+,13.7,std,ゲーム＆バラエティ,False,old
14000-14499,Baddest__dx__master,1,1,1,1,7,7,7,7,0.1429,99.8161,99.8161,0.0,0.0,0.0,288.0,288,Baddest,master,13+,13.7,dx,POPS＆アニメ,False,old
14000-14499,Lover's Trick__dx__master,1,1,1,1,7,7,7,7,0.1429,99.7131,99.7131,0.0,0.0,0.0,288.0,288,Lover's Trick,master,13+,13.7,dx,オンゲキ＆CHUNITHM,False,new
14000-14499,アトロポスと最果の探究者__dx__master,1,1,1,1,7,7,7,7,0.1429,99.8711,99.8711,0.0,0.0,0.0,288.0,288,アトロポスと最果の探究者,master,13+,13.7,dx,ゲーム＆バラエティ,False,old
14000-14499,ガラテアの螺旋__std__expert,1,1,1,1,7,7,7,7,0.1429,100.4311,100.4311,1.0,0.0,0.0,288.0,288,ガラテアの螺旋,expert,13,13.3,std,maimai,False,old
14000-14499,モ°ルモ°ル (MZK Skippin' Remix)__dx__master,1,1,1,1,7,7,7,7,0.1429,99.8389,99.8389,0.0,0.0,0.0,288.0,288,モ°ルモ°ル (MZK Skippin' Remix),master,13+,13.7,dx,maimai,False,old
14000-14499,猛進ソリストライフ！__std__master,1,1,1,1,7,7,7,7,0.1429,99.8247,99.8247,0.0,0.0,0.0,288.0,288,猛進ソリストライフ！,master,13+,13.7,std,オンゲキ＆CHUNITHM,False,old
14000-14499,終点__std__master,1,1,1,1,7,7,7,7,0.1429,99.9502,99.9502,0.0,0.0,0.0,288.0,288,終点,master,13+,13.7,std,niconico＆ボーカロイド,False,old
14000-14499,魔ジョ狩リ__dx__master,1,1,1,1,7,7,7,7,0.1429,99.9535,99.9535,0.0,0.0,0.0,288.0,288,魔ジョ狩リ,master,13+,13.7,dx,maimai,False,old
14000-14499,Freak Out Hr.__dx__master,1,1,1,1,7,7,7,7,0.1429,100.0312,100.0312,1.0,0.0,0.0,287.0,287,Freak Out Hr.,master,13,13.3,dx,niconico＆ボーカロイド,False,old
14000-14499,Kattobi KEIKYU Rider__std__master,1,1,1,1,7,7,7,7,0.1429,99.5377,99.5377,0.0,0.0,0.0,287.0,287,Kattobi KEIKYU Rider,master,13+,13.7,std,オンゲキ＆CHUNITHM,False,old
14000-14499,raputa__dx__expert,1,1,1,1,7,7,7,7,0.1429,99.5594,99.5594,0.0,0.0,0.0,287.0,287,raputa,expert,13+,13.7,dx,maimai,False,old
14000-14499,壱雫空__dx__master,1,1,1,1,7,7,7,7,0.1429,99.6097,99.6097,0.0,0.0,0.0,287.0,287,壱雫空,master,13+,13.7,dx,POPS＆アニメ,False,old
14000-14499,迷える音色は恋の唄__dx__master,1,1,1,1,7,7,7,7,0.1429,99.5734,99.5734,0.0,0.0,0.0,287.0,287,迷える音色は恋の唄,master,13+,13.7,dx,ゲーム＆バラエティ,False,old
