profile_id,profile_url,rating,rating_band,chart_id,song_id,title,displayed_title,difficulty,level,internal_level,chart_type,achievement,rank,chart_rating,calculated_chart_rating,best50_section,category,song_version,chart_version,is_new
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Ref:rain (for 7th Heaven)__dx__master,Ref:rain (for 7th Heaven),Ref:rain (for 7th Heaven),Ref:rain (for 7th Heaven),master,14,14.0,dx,100.8355,SSS+,315,315,new,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,DATAERR0R__dx__master,DATAERR0R,DATAERR0R,DATAERR0R,master,14,14.0,dx,100.5428,SSS+,315,315,new,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Unwelcome School__dx__remaster,Unwelcome School,Unwelcome School,Unwelcome School,remaster,14,14.1,dx,100.5394,SSS+,315,317,new,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,MYTH Re：LEASE__dx__master,MYTH Re：LEASE,MYTH Re：LEASE,MYTH Re:LEASE,master,14,14.5,dx,100.0439,SSS,313,313,new,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,BATTLE NO.1__dx__master,BATTLE NO.1,BATTLE NO.1,BATTLE NO.1,master,14,14.5,dx,100.6226,SSS+,326,326,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,QUATTUORUX__dx__master,QUATTUORUX,QUATTUORUX,QUATTUORUX,master,14,14.5,dx,100.5113,SSS+,326,326,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Trick tear__dx__master,Trick tear,Trick tear,Trick tear,master,14,14.4,dx,100.7879,SSS+,324,324,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Revive The Rave__std__remaster,Revive The Rave,Revive The Rave,Revive The Rave,remaster,14,14.4,std,100.6855,SSS+,324,324,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,FLUFFY FLASH__dx__master,FLUFFY FLASH,FLUFFY FLASH,FLUFFY FLASH,master,14,14.4,dx,100.6662,SSS+,324,324,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,"≠彡""/了→__dx__master","≠彡""/了→","≠彡""/了→","≠彡""/了→",master,14,14.4,dx,100.6378,SSS+,324,324,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,ほしぞらスペクタクル__dx__master,ほしぞらスペクタクル,ほしぞらスペクタクル,ほしぞらスペクタクル,master,14,14.4,dx,100.575,SSS+,324,324,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Mjölnir__dx__master,Mjölnir,Mjölnir,Mjölnir,master,14,14.4,dx,100.5457,SSS+,324,324,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Energizing Flame__dx__master,Energizing Flame,Energizing Flame,Energizing Flame,master,14,14.4,dx,100.5415,SSS+,324,324,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,YURUSHITE__dx__master,YURUSHITE,YURUSHITE,YURUSHITE,master,14,14.4,dx,100.526,SSS+,324,324,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,STEEL TRANSONIC__dx__master,STEEL TRANSONIC,STEEL TRANSONIC,STEEL TRANSONIC,master,14,14.3,dx,100.6607,SSS+,321,321,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Swift Swing__dx__master,Swift Swing,Swift Swing,Swift Swing,master,14,14.3,dx,100.6565,SSS+,321,321,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,VSpook!__dx__master,VSpook!,VSpook!,VSpook!,master,14,14.3,dx,100.6169,SSS+,321,321,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,SUPER AMBULANCE__dx__master,SUPER AMBULANCE,SUPER AMBULANCE,SUPER AMBULANCE,master,14,14.3,dx,100.5832,SSS+,321,321,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,"""411Ψ892""__dx__master","""411Ψ892""","""411Ψ892""","""411Ψ892""",master,14,14.3,dx,100.542,SSS+,321,321,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,MEGATON BLAST__dx__master,MEGATON BLAST,MEGATON BLAST,MEGATON BLAST,master,14,14.3,dx,100.5203,SSS+,321,321,old,オンゲキ＆CHUNITHM,,,False
